word,pos,neg,neutral,label
academic,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
accepting,0.5547703983997734,0.4452296016002266,0.6725934495479876,neutral
active,0.4737813344265817,0.5262186655734182,0.5594560004019682,neutral
advancing,0.4904480010932484,0.5095519989067516,0.5225935369314391,neutral
adventurous,0.6376168583428509,0.36238314165714913,0.15421849534065696,pos
attractive,0.6278630800145648,0.3721369199854352,0.26175572807072145,pos
authoritarian,0.5411562096857792,0.45884379031422085,0.5950890614040548,neutral
autocratic,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
beneficial,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
boring,0.14180954961356917,0.8581904503864308,0.1629112454592548,neg
brilliant,0.7316441205628437,0.26835587943715633,0.21540655635287018,pos
caring,0.5492693988124943,0.45073060118750574,0.5950890614040548,neutral
challenging,0.6646323924335752,0.3353676075664248,0.1764071352277182,pos
classist,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
cliquey,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
closed-minded,0.4113331685002965,0.5886668314997034,0.6420483282611714,neutral
cold,0.3268347949872565,0.6731652050127435,0.26175572807072145,neg
collaborative,0.4904480010932484,0.5095519989067516,0.5225935369314391,neutral
colorful,0.6073373676959734,0.39266263230402665,0.3325435302079209,pos
comfort,0.5509685711260459,0.4490314288739541,0.6475933548875127,neutral
communal,0.5487718727453581,0.4512281272546419,0.5950890614040548,neutral
communist,0.51842999706999,0.48157000293000995,0.7031849160041541,neutral
community,0.5397664188659183,0.46023358113408175,0.7349985066149806,neutral
compassionate,0.542077366740843,0.45792263325915705,0.5950890614040548,neutral
competitive,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
comprehensive,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
compulsory,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
concentrated,0.4904480010932484,0.5095519989067516,0.5225935369314391,neutral
conflict,0.5181081384490986,0.48189186155090136,0.5850933093794141,neutral
cooperative,0.4484680524786925,0.5515319475213075,0.5950890614040548,neutral
corrupting,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
cozy,0.46544800109324835,0.5345519989067516,0.34508906140405476,neg
creative,0.6514968294603986,0.34850317053960145,0.2351524484024824,pos
curious,0.5213463722010183,0.4786536277989817,0.26175572807072145,pos
dead,0.38267271914063605,0.617327280859364,0.5608451716098249,neutral
democratic,0.53123178615354,0.46876821384645995,0.5950890614040548,neutral
depressing,0.3623130430454152,0.6376869569545849,0.11410389995846286,neg
determined,0.4904480010932484,0.5095519989067516,0.6588243948582223,neutral
different,0.5801050806620471,0.41989491933795287,0.503062951705353,neutral
difficult,0.3744515099121155,0.6255484900878845,0.17701558457404118,neg
diligent,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
dirty,0.4164891978224775,0.5835108021775225,0.3284223947373881,neg
disassociated,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
discrimination,0.5241479270122538,0.47585207298774623,0.5950890614040548,neutral
disjointed,0.4417630894964861,0.5582369105035139,0.46271517330676537,neg
distant,0.4503582219142575,0.5496417780857425,0.5614838028284966,neutral
diverse,0.5913823162899003,0.40861768371009966,0.5950890614040548,neutral
divided,0.5155495525249197,0.48445044747508026,0.6686748793182158,neutral
dynamic,0.4483080866426762,0.5516919133573238,0.5395335058484992,neutral
easy,0.6025981422165991,0.39740185778340087,0.18534735640064984,pos
egotistical,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
embarrassed,0.46918453627262746,0.5308154637273725,0.4574733362141543,neg
encompassing,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
encouraging,0.563920424816402,0.43607957518359797,0.46180215436830485,pos
engaging,0.6006213695985918,0.3993786304014082,0.19934049237709847,pos
enlightening,0.5675929801942092,0.43240701980579077,0.3962787183939775,pos
entertaining,0.644989866246139,0.35501013375386103,0.1522460524746925,pos
enthusiastic,0.6128960778079258,0.38710392219207423,0.2950890614040548,pos
environmental,0.4485012312900763,0.5514987687099238,0.48843434701839694,neg
excellent,0.780934654221267,0.21906534577873304,0.0676876565240216,pos
exciting,0.5279480010932484,0.47205199890675165,0.20527467864033042,pos
exclusive,0.5262520649172016,0.47374793508279844,0.7170381701543883,neutral
exploring,0.4904480010932484,0.5095519989067516,0.5688896384509868,neutral
familiar,0.5710229270122538,0.42897707298774623,0.26483031089264575,pos
fast-paced,0.5579944737337057,0.4420055262662943,0.5006828829248011,neutral
fickle,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
flexible,0.4480895204233252,0.5519104795766747,0.5225935369314391,neutral
forward-thinking,0.5001512079873122,0.49984879201268784,0.5425544211543271,neutral
free,0.5718173775831654,0.4281826224168346,0.4709541150519872,pos
fretted,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
friendly,0.5373230010932484,0.4626769989067516,0.42842239473738813,pos
fruitful,0.4904480010932484,0.5095519989067516,0.5225935369314391,neutral
fun,0.6489450375111884,0.35105496248881163,0.36532529070293296,pos
global,0.4904480010932484,0.5095519989067516,0.7170381701543883,neutral
hard,0.4180549596444645,0.5819450403555355,0.3441264117590537,neg
hardworking,0.44814397628865904,0.551856023711341,0.5950890614040548,neutral
harmonious,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
hierarchical,0.4904480010932484,0.5095519989067516,0.5950890614040548,neutral
high-quality,0.51467625348122,0.48532374651877996,0.4751711774604648,pos
hopeful,0.5508234575778176,0.4491765424221824,0.5421452176890845,neutral
